idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
50,12.70975,-0.33722,0.90459,1.27782,1.93282,0.70270,0.19969,0.22463,-0.84879,1.49136,0.16247,0.08133,0.26822,0.10666,0.12008,3.63458,0.15583
51,17.25691,-0.35111,0.81030,0.83362,3.62133,0.76641,0.06227,0.18016,-0.76641,-0.31223,0.14812,0.09747,0.23885,0.09298,0.24394,3.10619,0.13703
52,14.39209,0.14213,1.07807,1.03788,2.56577,1.36082,-0.16838,0.21325,-0.46773,-0.14285,0.05524,0.13004,0.22910,0.07471,-0.21874,5.88974,0.13843
53,11.17257,0.06604,0.93769,0.83650,3.58029,1.14547,-0.05194,0.25581,0.39271,0.15983,0.05501,0.07621,0.18133,0.09063,0.27001,3.35219,0.15549
54,15.38167,0.25346,0.99364,1.22545,1.10038,1.44445,0.21455,0.23836,-0.61958,1.02819,0.13759,0.07263,0.20664,0.06012,-0.46675,4.91121,0.16056
55,15.92304,0.19445,1.22496,1.11872,3.62898,1.06945,-0.00946,0.23211,-0.59725,1.12097,0.07204,0.02851,0.19136,0.09263,-0.54665,6.86347,0.15025
56,14.35394,-0.37401,0.94144,0.74606,2.40434,1.49006,0.12321,0.18453,0.46704,0.57193,0.09328,0.18003,0.23392,0.08546,-0.17021,5.49894,0.14753
57,15.09793,0.13371,0.70326,0.80841,1.63876,1.20713,0.10710,0.14922,0.04701,-0.62033,0.18745,0.07535,0.27674,0.08198,-0.36271,3.70108,0.14646
58,11.97850,0.26422,1.16166,0.82240,1.02648,1.58585,-0.00101,0.19685,-0.34943,1.09525,0.08455,0.04736,0.13615,0.11531,0.16759,5.02146,0.13791
59,18.11679,-0.14845,1.38112,1.33969,3.89974,1.57594,-0.02507,0.18814,-0.32221,1.44781,0.11769,0.12343,0.15746,0.07961,-0.34055,5.54592,0.15175
60,18.46122,-0.34799,1.03126,1.21316,1.95749,1.63409,0.15796,0.22940,-1.23547,-0.43194,0.18924,0.16214,0.16668,0.06682,-0.14942,7.02867,0.14814
61,13.26675,-0.20950,1.01109,1.10912,1.98083,1.54829,0.03188,0.26555,-1.08246,0.09428,0.09189,0.10219,0.12421,0.03620,0.50789,4.12801,0.14391
62,17.34687,-0.39430,0.76412,0.99794,3.83095,0.81803,0.04755,0.24028,-0.88754,1.48043,0.13082,0.17238,0.16841,0.10787,0.67858,4.68985,0.15293
63,10.75332,0.04606,1.53978,1.41823,1.36132,0.95197,0.06076,0.20017,-0.17490,1.18784,0.09040,0.14232,0.21738,0.09924,-0.25803,6.31974,0.15365
64,13.08877,0.11230,1.51055,0.81633,2.66208,0.63759,-0.21832,0.22169,0.63675,1.36908,0.17693,0.11983,0.15350,0.06044,-0.49569,6.12674,0.14883
65,11.53879,0.28498,0.80455,0.57559,2.92036,1.02125,0.23458,0.26148,-0.29587,0.90662,0.10501,0.15607,0.18853,0.12058,-0.06243,7.14121,0.13581
66,13.84433,0.03278,0.49489,1.26863,1.64292,1.25535,-0.15397,0.26113,-0.14161,1.15827,0.06680,0.07658,0.21222,0.10143,-0.34722,4.48508,0.15229
67,15.11370,0.01524,1.73532,0.73425,2.55214,1.09800,-0.18818,0.15098,-0.80800,1.25125,0.07006,0.16177,0.19293,0.12149,-0.26587,5.12754,0.14942
68,19.00435,-0.13826,1.05403,1.39158,2.02614,0.68383,-0.16359,0.23773,0.47807,-0.12032,0.08657,0.08754,0.15039,0.11217,-0.06786,4.31993,0.15383
69,18.33466,-0.46490,1.08189,0.88418,1.10555,1.13611,-0.03814,0.21554,-0.65680,0.54516,0.04370,0.03798,0.25454,0.08417,0.30435,4.04884,0.15768
70,12.43879,-0.07194,1.72812,0.99443,0.99778,1.27693,0.09129,0.17095,0.66933,1.61761,0.15045,0.14579,0.27991,0.03597,0.17821,6.18912,0.13832
71,16.62944,0.10208,1.23406,0.77068,0.81680,0.49699,0.16341,0.16276,-1.61075,0.66415,0.10441,0.07413,0.14643,0.05964,-0.27699,4.55991,0.15647
72,14.45837,-0.00620,1.68467,0.75339,0.96872,1.42262,-0.17922,0.26937,0.51411,0.68514,0.13988,0.10499,0.24618,0.11372,0.05606,4.66385,0.14681
73,16.80384,0.09473,0.34685,0.68034,4.65816,1.20102,0.08493,0.21101,-0.83637,0.96890,0.04658,0.10398,0.21907,0.08568,0.31035,3.73424,0.14627
74,14.65118,0.09532,0.79937,0.86628,2.58258,1.23674,-0.24189,0.21513,-0.77351,-0.52621,0.15789,0.07833,0.15242,0.07131,-0.03169,2.73963,0.14494
75,18.05446,0.11701,1.50260,0.91897,3.65692,0.60434,0.05223,0.22316,-0.58639,1.60760,0.15673,0.04779,0.23607,0.10007,0.33216,5.30637,0.14796
76,15.89586,0.17332,0.41377,0.75503,1.30570,1.04702,-0.24645,0.19945,-0.77811,-0.32355,0.18649,0.16096,0.25977,0.10681,-0.27859,5.02853,0.14032
77,12.15324,-0.42065,1.47849,0.64098,2.97095,1.42943,-0.07634,0.24214,-1.78278,0.65186,0.12402,0.06472,0.21827,0.06621,-0.30955,5.29536,0.15632
78,12.37527,-0.35702,0.43434,1.01673,3.75582,1.33693,0.05869,0.17987,-1.46790,1.46297,0.11408,0.11704,0.17610,0.12875,0.01484,3.58513,0.16004
79,13.40489,-0.40372,1.41684,1.32545,3.80269,1.60415,0.04232,0.19888,-1.74158,-0.24024,0.15080,0.08651,0.21296,0.09891,0.26264,4.51043,0.15484
80,17.77869,-0.45753,1.48897,0.95801,1.51919,1.01648,0.22331,0.24676,-1.11668,0.00177,0.07125,0.06102,0.21469,0.09548,-0.70305,3.77465,0.14291
81,12.95736,0.18167,1.05786,1.18829,3.13449,0.98885,0.21108,0.15513,-1.36835,1.10748,0.08194,0.04697,0.26498,0.09112,-0.05654,5.77367,0.13982
82,13.39228,-0.12613,1.47038,0.61934,1.20266,1.39201,0.02265,0.17864,-0.60473,-0.21484,0.05666,0.12314,0.26435,0.13073,0.54056,4.45327,0.13413
83,12.82126,0.50346,0.62772,0.98084,0.48823,1.79355,-0.27704,0.18380,-0.19404,0.71952,0.03251,0.13028,0.20062,0.06740,0.12994,4.59272,0.15204
84,19.11220,0.33075,1.10254,1.15014,2.47798,0.84100,0.21780,0.21577,-1.79039,0.18551,0.14420,0.12785,0.16434,0.10890,0.57637,6.85011,0.14467
