idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
297,11.64746,-0.69916,1.75827,0.53671,3.95387,1.05739,-0.14175,0.16816,0.88888,-0.79467,0.01734,0.14534,0.17209,0.02748,-0.33023,2.99116,0.15095
298,17.05528,0.59583,0.51374,1.36384,2.88118,0.61493,-0.13232,0.21818,0.99998,1.46959,0.02724,0.05988,0.29386,0.14653,0.56446,2.16530,0.15953
299,19.28424,0.30580,0.36196,1.28049,1.57320,1.25674,-0.18299,0.28760,0.84773,1.06112,0.13481,0.16380,0.28844,0.08158,-0.12178,7.46779,0.15208
300,11.78096,0.09109,1.55016,0.97723,3.42962,0.49264,-0.02089,0.13244,0.95362,0.61178,0.15132,0.05450,0.12329,0.04409,0.22788,6.60333,0.16231
301,12.52821,-0.51401,0.69530,1.12129,0.31319,1.69015,0.00822,0.27324,0.15801,1.29044,0.18352,0.12721,0.22676,0.13600,-0.41370,5.34638,0.13559
302,11.69556,-0.48370,1.81435,0.85957,3.37235,0.31505,0.25238,0.15341,-0.36269,0.92737,0.07681,0.13227,0.12253,0.08205,-0.60540,6.00374,0.13732
303,10.65294,-0.01658,1.93325,0.81241,3.23840,1.93526,-0.16271,0.17300,-1.64266,-0.51019,0.03367,0.14124,0.23097,0.13754,0.07930,3.65189,0.14714
304,17.08201,0.69692,0.42647,1.17834,1.66825,1.75218,0.03425,0.16650,0.79282,1.13848,0.04697,0.19156,0.22649,0.03908,0.48290,7.80065,0.13748
305,12.09002,0.59914,0.74403,0.78398,0.47514,1.20833,-0.28409,0.17208,0.69497,1.07427,0.15600,0.16497,0.16376,0.03742,-0.66248,7.44580,0.14914
306,13.53983,0.54800,1.11260,0.89383,4.35202,1.62881,-0.26055,0.29246,0.35444,1.68152,0.04142,0.10441,0.25145,0.06252,-0.63106,3.45716,0.16253
307,14.77831,-0.34450,0.33579,1.06599,3.06529,1.63240,-0.14809,0.13286,0.22156,0.13296,0.01852,0.01948,0.23209,0.03664,-0.43256,4.94824,0.14127
308,16.49367,0.60743,0.60325,0.91760,4.47647,0.34439,-0.23145,0.28125,-1.63128,0.45259,0.03644,0.10720,0.29816,0.14036,-0.72065,4.78282,0.15335
309,19.37695,-0.36505,0.65007,1.39537,2.38307,0.69849,-0.02332,0.28789,-1.99586,1.96578,0.05017,0.12845,0.14804,0.09524,0.15486,2.79603,0.15164
310,16.00472,0.19811,1.96398,0.94143,3.16462,0.43428,0.29085,0.18974,-0.00896,0.75424,0.10782,0.04157,0.26222,0.14792,-0.19679,2.89320,0.13764
311,17.95721,-0.38771,0.40791,0.74836,2.75288,1.90403,-0.12303,0.18247,-0.83541,1.72834,0.03551,0.15672,0.27383,0.11572,0.16580,5.17268,0.16119
312,18.18420,-0.61183,1.70901,0.94935,2.48683,0.42260,-0.17484,0.18217,-0.59148,1.84098,0.06050,0.14921,0.12055,0.03171,-0.45724,2.39997,0.13388
313,11.50527,0.30800,1.89084,1.41506,0.16050,0.33577,-0.04849,0.18878,-1.72573,1.90808,0.04465,0.05357,0.25938,0.04822,0.26580,5.57721,0.13609
314,15.29096,-0.39627,1.22971,1.47338,4.58163,1.76190,0.27394,0.17162,-1.34333,1.14892,0.17646,0.03942,0.24040,0.06100,0.51522,2.78051,0.14285
315,19.90535,-0.43077,0.89240,1.34033,1.87139,1.63667,0.12651,0.14050,0.98436,1.86626,0.11309,0.05282,0.22061,0.09087,0.71849,7.59370,0.14159
316,19.56685,0.31618,0.86594,0.55053,0.91445,0.83931,0.08342,0.17222,0.93165,1.83206,0.04881,0.07202,0.29545,0.08521,-0.14115,6.40876,0.16389
317,19.40419,-0.12452,0.99348,1.38506,4.56493,1.83462,0.03999,0.25739,-1.78939,-0.48879,0.08284,0.09385,0.25915,0.12096,-0.70915,2.08558,0.13998
318,16.29364,-0.61608,0.39909,0.83044,0.15517,1.66924,0.22817,0.24391,-0.43739,-0.22098,0.11259,0.17770,0.24183,0.03849,-0.04369,7.85911,0.16447
319,14.42280,-0.22396,1.12421,1.14559,3.78104,1.60772,0.24650,0.29807,0.67100,1.38388,0.09305,0.10546,0.22724,0.14739,0.75172,6.57834,0.15039
320,12.18774,0.67441,1.76602,0.59091,1.19751,1.51422,0.10581,0.13970,0.97279,0.07093,0.16117,0.09914,0.27423,0.13911,-0.42414,7.72818,0.14321
321,17.68003,0.35326,0.58410,1.03251,4.91210,1.33125,0.18936,0.29002,-1.89684,0.08795,0.09868,0.02808,0.13410,0.03933,-0.12501,2.60837,0.13773
322,18.97933,-0.60962,1.27963,1.30004,4.71751,0.69481,0.13398,0.29752,-1.16160,0.56086,0.15316,0.04616,0.17839,0.06808,0.54888,6.80206,0.15264
323,16.08006,0.63728,1.40880,0.79211,4.76614,0.47416,0.10327,0.13057,-1.93174,1.50675,0.14932,0.14162,0.15488,0.07018,0.51268,7.22706,0.15302
324,11.70822,-0.50966,1.39938,0.52121,1.68457,1.85814,-0.05426,0.16755,0.16861,-0.74643,0.15916,0.09033,0.23954,0.09419,-0.69834,2.11474,0.15525
325,10.96358,0.51685,1.90098,1.31048,2.88980,1.40629,-0.05698,0.23563,-1.43335,-0.19378,0.06117,0.16275,0.14626,0.04766,-0.49106,3.01445,0.14075
326,19.43342,-0.65089,1.87398,0.62286,0.79368,0.44964,0.29272,0.19609,0.23553,-0.77978,0.05853,0.09873,0.15232,0.07864,0.05983,2.31014,0.14214
327,15.57169,-0.05000,0.62408,1.11602,3.27862,1.99820,0.16295,0.14701,0.86001,0.21782,0.16797,0.15383,0.24067,0.13643,-0.34910,2.85047,0.13952
328,15.04096,0.02913,1.45659,1.47041,2.07618,1.15838,-0.21483,0.24748,-0.30414,-0.84769,0.14130,0.05626,0.12221,0.14317,-0.05968,3.94499,0.13085
329,11.25855,-0.10032,0.56335,0.73076,2.66344,1.37719,0.02500,0.24297,-1.80820,-0.80666,0.17361,0.01793,0.20404,0.12218,0.79280,2.41809,0.13696
330,18.78664,-0.50384,1.74171,1.16507,1.23467,1.81887,-0.08757,0.19422,0.87726,0.95494,0.03413,0.03096,0.23814,0.11398,-0.77579,3.52802,0.14541
331,19.05146,0.00043,0.30018,1.35246,4.09769,0.51769,0.02842,0.26876,0.49373,1.58023,0.06577,0.01994,0.21333,0.03331,-0.76695,6.03465,0.13163
332,13.70619,-0.48723,0.95793,1.02166,0.26557,0.44488,-0.25376,0.16424,-0.75634,0.17393,0.01768,0.19097,0.24388,0.08287,0.78822,7.88425,0.16300
333,16.50180,0.36991,0.50092,0.65569,2.80863,0.36030,-0.07172,0.15174,0.11994,0.24066,0.06846,0.18408,0.23157,0.13279,-0.64021,3.88685,0.13919
334,17.72726,0.23742,0.31636,1.30543,3.79502,0.50570,0.00419,0.24528,-1.83898,-0.20605,0.15942,0.13070,0.28111,0.06503,-0.08702,3.42138,0.15321
335,19.48328,-0.59112,0.81929,0.76176,4.48254,1.69513,-0.12493,0.13594,-0.06625,0.88198,0.06875,0.09819,0.12479,0.03289,-0.53419,3.46848,0.16399
336,10.23370,-0.49327,0.73496,0.97201,2.30497,0.66208,-0.05624,0.18088,-0.51109,1.91114,0.14776,0.04525,0.17246,0.08053,0.35339,4.56966,0.14337
337,10.34026,0.41965,1.40675,0.80214,0.56908,0.57204,-0.05089,0.23716,-1.77445,0.11445,0.09091,0.19986,0.21964,0.12655,-0.58114,7.58508,0.13206
338,11.48187,0.44753,1.54691,0.73887,2.56379,1.46347,-0.26645,0.14114,0.19491,1.82056,0.02888,0.02975,0.13851,0.02711,0.39226,4.67733,0.13325
339,18.25938,0.57035,0.57962,0.93590,0.29956,1.48337,0.15098,0.25842,-0.27320,-0.63741,0.16525,0.05029,0.23948,0.14061,-0.66073,6.10315,0.15742
340,16.85742,-0.27418,0.83672,0.77937,4.53956,0.88508,-0.07449,0.25919,0.19610,-0.27369,0.02188,0.19572,0.12638,0.05647,0.71291,3.06414,0.13836
341,13.12603,0.68726,0.53127,1.37063,2.23837,1.49630,-0.06641,0.27549,-1.53004,1.35911,0.18810,0.16788,0.18463,0.13686,-0.22724,3.71859,0.14558
342,14.52230,0.54982,1.18620,1.20290,4.32488,0.54032,-0.01885,0.24065,-1.44895,-0.94433,0.05117,0.05092,0.29515,0.13450,0.50169,7.55307,0.13250
343,12.00668,-0.57088,1.78579,1.46590,4.27880,1.73369,-0.09125,0.29707,0.00666,0.81965,0.11060,0.02603,0.24637,0.12866,-0.50951,4.74503,0.15394
344,14.56538,0.47880,1.65289,0.68377,3.55142,1.52759,-0.29956,0.22077,0.90776,-0.28350,0.19862,0.03520,0.14252,0.03421,-0.73827,4.83948,0.15621
345,12.72375,0.21520,1.44706,0.69235,1.60422,1.19246,-0.10492,0.15853,-1.95214,-0.72616,0.17862,0.03813,0.25649,0.13623,0.24277,5.85386,0.16310
346,19.74713,0.43389,1.54408,1.45850,4.75972,0.38197,0.19012,0.14247,-1.19131,-0.02498,0.09635,0.01616,0.12991,0.10705,-0.74245,7.90762,0.14436
347,19.23520,0.62867,1.64120,1.45444,2.02334,1.67151,0.25423,0.27274,0.05295,0.57229,0.04255,0.15839,0.18821,0.11115,0.53546,2.01887,0.13611
348,17.53204,-0.54330,0.69794,1.18065,4.32088,0.61164,-0.10327,0.13740,0.72594,-0.29441,0.12648,0.08517,0.27001,0.10557,-0.65895,5.03995,0.16236
349,17.18704,0.65350,1.86917,1.13929,1.58596,0.93944,0.23598,0.26836,-0.54948,1.99938,0.04794,0.02536,0.20778,0.06645,-0.69423,3.18843,0.15240
350,19.71017,-0.26832,0.79228,0.55518,2.20978,1.65940,0.13716,0.26323,0.45943,-0.73723,0.12936,0.08382,0.17684,0.12267,0.74552,3.71506,0.14456
351,17.39346,-0.58309,0.85814,1.44439,2.69143,1.88558,-0.19520,0.15217,-1.48944,0.55262,0.02522,0.15872,0.16517,0.12436,-0.56285,5.63722,0.13220
352,16.40709,-0.21900,0.90099,1.34860,3.14564,1.68343,-0.22871,0.29305,0.65234,-0.85556,0.01924,0.14805,0.24815,0.05790,0.53401,3.60240,0.16021
353,17.06164,-0.42708,1.93638,1.36447,2.76736,1.61398,-0.27412,0.13520,-0.92191,1.35132,0.10877,0.18385,0.26137,0.04652,0.69395,3.03184,0.16191
354,11.27780,-0.63674,1.91184,1.37963,0.20602,0.62084,0.18683,0.13320,0.81739,0.28647,0.16424,0.03684,0.17428,0.10063,-0.59493,7.92492,0.14422
355,15.86649,0.15041,0.59076,1.08292,2.68107,0.83285,-0.16104,0.29381,-0.06135,0.47718,0.14313,0.17466,0.12214,0.11693,0.78199,2.51543,0.16469
356,12.88148,0.01069,0.93248,1.47457,4.43580,1.71280,-0.19892,0.26262,-1.82834,0.35706,0.05400,0.18780,0.13807,0.11947,0.17189,7.94927,0.15881
357,13.92342,-0.47878,1.25329,0.95452,1.38783,0.40860,0.12541,0.21017,-0.66867,-0.88848,0.19907,0.01403,0.16088,0.05011,-0.20134,3.82937,0.15725
358,17.36009,-0.59733,0.55496,0.60138,0.55222,1.04007,0.25532,0.15204,-0.96162,1.34415,0.16124,0.01034,0.28185,0.02929,-0.73124,5.06624,0.15353
359,18.67145,-0.52385,0.63263,1.28541,1.77395,1.65611,0.20851,0.22742,0.74037,1.79008,0.07813,0.09460,0.16120,0.13092,-0.23198,3.33972,0.16492
360,12.65233,-0.21525,0.93046,1.22141,4.30046,1.93644,0.14125,0.13015,-0.69684,1.05694,0.01340,0.05004,0.12764,0.02878,0.65408,2.50330,0.15805
361,19.61489,0.40292,1.89764,0.58549,3.26365,0.86605,0.22495,0.23694,-0.44091,0.02593,0.05450,0.17527,0.19717,0.05199,-0.62349,5.70356,0.15772
362,18.61470,-0.67579,1.43012,1.06909,0.72690,0.48615,0.28000,0.27411,0.37192,0.94626,0.05824,0.19081,0.28857,0.11896,0.61925,3.60905,0.13034
363,10.77459,0.06825,1.77110,1.22259,0.87169,1.96356,0.25144,0.28570,0.78623,0.03017,0.06785,0.05923,0.18980,0.03887,-0.57498,7.35448,0.13415
364,10.24409,-0.45442,1.21417,0.77621,4.13628,1.54403,-0.02964,0.28229,-1.37124,1.91812,0.09395,0.06592,0.12653,0.02765,0.01961,7.83108,0.14972
365,14.92705,0.16990,0.60208,0.64740,2.70261,0.30213,0.27482,0.18281,-0.81809,-0.09313,0.16972,0.13908,0.22540,0.02515,0.41926,2.54482,0.13042
366,16.45083,0.06363,1.03953,0.89923,1.41920,0.32144,-0.22131,0.19268,0.03216,1.87234,0.06931,0.04317,0.29462,0.02682,0.54362,2.26858,0.15446
367,17.44397,0.58459,0.96196,0.67317,1.98894,0.63423,-0.17693,0.24607,-1.54550,1.22278,0.19331,0.02369,0.19355,0.06428,-0.71438,3.08908,0.15679
368,18.57969,-0.43707,1.94678,1.21586,1.41175,1.71450,-0.19665,0.21234,0.97939,0.77365,0.18826,0.15473,0.18986,0.13710,-0.77277,7.20164,0.15090
369,19.64240,0.64889,0.51591,1.02540,3.01748,1.31315,0.25772,0.24435,-0.15437,1.63804,0.04559,0.11750,0.13656,0.05995,0.49603,7.68318,0.16324
370,11.09884,-0.11445,0.33291,1.46960,1.52557,1.66483,-0.17260,0.26850,0.27226,-0.82939,0.03898,0.17904,0.29701,0.09228,-0.68306,3.32023,0.13485
371,17.96440,0.56441,1.13086,1.19585,4.04598,0.52948,-0.29736,0.21780,0.93460,-0.16621,0.01654,0.04573,0.14955,0.06574,0.23380,6.68160,0.15987
372,14.79858,-0.56336,1.14875,0.62002,1.31067,0.46267,0.22960,0.18937,-1.97671,0.00696,0.05622,0.06867,0.24542,0.02539,0.75976,6.66313,0.14689
373,11.41330,0.05669,1.73218,1.34608,1.62694,1.64036,0.29414,0.20583,-1.47606,-0.55551,0.10225,0.16417,0.25747,0.08270,0.37937,3.20002,0.16270
374,17.71666,-0.32481,1.94163,1.31399,2.35462,0.36843,-0.19342,0.28943,-0.39426,1.98836,0.11895,0.06184,0.19198,0.11413,-0.16027,5.60538,0.13622
375,10.70378,0.64247,0.65816,0.79842,2.72017,1.05952,0.17373,0.14552,-1.93565,1.98169,0.07713,0.04539,0.15787,0.11791,-0.15221,7.64454,0.13506
376,10.29844,0.62588,1.24328,1.04145,4.17254,1.23220,-0.21880,0.29780,0.74995,-0.91815,0.05176,0.17328,0.23862,0.14677,0.65623,7.49809,0.16381
377,19.51620,0.02669,0.37008,0.99096,2.74208,1.97264,0.14679,0.13124,-1.76118,1.61228,0.12815,0.18125,0.19545,0.03629,-0.75110,6.98278,0.14433
378,10.56760,0.55705,0.59650,1.20698,0.60302,0.57725,-0.15965,0.14387,-1.97304,0.07868,0.08922,0.03610,0.26918,0.12150,0.34183,2.25132,0.13375
379,10.03276,0.20575,0.76086,1.49904,2.45692,0.37357,-0.15591,0.28654,0.94731,0.58616,0.01566,0.08244,0.14136,0.08489,-0.79919,3.44650,0.14170
380,10.69798,0.46585,0.67802,1.10364,2.33806,1.17722,0.25960,0.21356,0.60645,1.50171,0.02122,0.11345,0.25000,0.02786,-0.39595,3.25752,0.13143
381,10.30357,-0.40931,1.56394,0.51036,0.22184,1.32923,0.18768,0.20004,-1.84804,-0.77075,0.17802,0.10852,0.12166,0.05090,-0.58982,4.95747,0.13069
382,10.98129,-0.05362,0.88331,0.56848,0.75739,1.87856,0.27067,0.19347,0.33984,-0.18615,0.01491,0.17373,0.29856,0.14477,0.15725,5.86827,0.15518
383,17.48042,0.10675,1.83559,0.84149,4.13860,1.60154,-0.18235,0.13687,-1.16632,1.64649,0.12983,0.02172,0.17929,0.14223,-0.03957,2.31929,0.16439
384,16.92341,-0.57862,1.97861,0.84548,4.64490,1.95215,0.08119,0.16873,-1.58841,0.52922,0.12614,0.18451,0.14382,0.05586,0.14349,5.79640,0.13725
385,16.16333,-0.17446,0.50773,1.44721,4.74383,0.52620,0.26360,0.13807,-1.75330,1.77287,0.01496,0.17414,0.26438,0.10468,-0.47532,5.27454,0.13436
386,16.72484,-0.64928,0.54302,1.48831,0.06740,0.81371,-0.25752,0.14790,0.44539,1.37693,0.17548,0.13702,0.19612,0.11807,-0.65377,2.36145,0.14044
387,12.45125,-0.67238,0.42036,0.58811,4.78809,1.26834,0.23328,0.17131,0.16229,1.89482,0.05337,0.04015,0.29338,0.13310,0.64814,6.56430,0.15123
388,17.87480,-0.66413,1.02411,0.74588,2.16908,1.01245,-0.15324,0.24631,-1.51170,-0.59767,0.01282,0.18741,0.27163,0.03489,-0.31159,2.55809,0.14735
389,10.49944,-0.52744,1.43941,0.96640,4.59162,1.11417,-0.07287,0.18538,0.21932,-0.10899,0.04221,0.07903,0.13958,0.14534,0.04979,6.72941,0.15928
390,10.08514,-0.20274,1.83906,0.61581,3.98836,0.51282,-0.20049,0.15798,-0.86638,-0.88212,0.18753,0.03338,0.29958,0.07936,0.09136,7.00323,0.13449
391,15.63003,-0.42484,1.52712,0.78436,3.90578,1.70724,0.13079,0.28846,0.96626,-0.09953,0.18093,0.06542,0.29999,0.02616,-0.60143,2.29862,0.16215
392,18.68276,0.40616,1.02995,1.35561,0.24827,0.91665,-0.03906,0.14001,-0.09834,-0.44447,0.11214,0.19589,0.17621,0.12914,-0.02770,7.11789,0.15221
393,15.99000,-0.32169,0.43925,0.53317,1.40298,1.97464,-0.15078,0.15981,0.75661,-0.76245,0.12283,0.07282,0.26833,0.13568,-0.22658,7.84140,0.13099
394,10.45455,-0.36758,1.80988,0.77512,0.12717,0.88350,0.26900,0.27352,0.33067,1.67119,0.16431,0.19794,0.25626,0.05470,-0.24625,4.66793,0.16247
395,19.39961,0.61819,1.71829,0.70077,1.16575,1.77263,-0.27851,0.16976,0.32538,1.79859,0.14108,0.18571,0.14029,0.08090,0.63923,6.32744,0.13497
396,10.32203,0.59239,1.91830,0.67915,4.39665,0.47863,0.13869,0.28479,-0.01549,-0.97772,0.14453,0.07577,0.12835,0.07313,0.29809,3.56603,0.13306
397,11.22654,-0.43577,1.72675,1.11245,0.09252,1.16349,-0.28575,0.15374,0.27605,1.12537,0.02520,0.19751,0.26380,0.04346,-0.50599,4.55389,0.15764
398,19.53446,0.69393,1.97274,0.95605,3.51920,1.58053,0.05748,0.21074,-1.98255,0.36228,0.04735,0.03549,0.27843,0.08619,-0.75244,6.91863,0.13298
399,19.34368,0.27925,0.35897,0.65658,0.28738,1.97896,-0.29320,0.25651,-1.96168,-0.47605,0.06995,0.09117,0.14116,0.09976,-0.45433,2.67900,0.14070
400,14.82676,-0.07450,0.58848,0.53560,0.39508,0.93625,0.15282,0.13906,-0.98699,1.01742,0.15232,0.09555,0.13093,0.14945,0.75498,4.21305,0.16135
401,15.34107,0.32023,0.70696,1.38156,0.24274,0.36791,-0.00537,0.20199,-0.38081,0.67539,0.18120,0.03358,0.28129,0.08775,0.47009,7.25714,0.14276
402,11.13282,-0.41487,1.73823,1.48578,3.07667,0.59176,0.27810,0.26780,0.20369,0.98359,0.03965,0.18362,0.14333,0.05391,0.68186,5.32413,0.14665
403,13.67770,0.19930,0.34762,1.48107,1.59567,1.37035,-0.26489,0.25642,0.07869,-0.70477,0.15451,0.08929,0.12811,0.08872,-0.78548,6.06667,0.16082
404,14.75914,0.62275,1.39710,1.31720,3.48688,1.12428,-0.29449,0.13098,0.76871,0.44794,0.15891,0.16152,0.24334,0.03815,-0.41210,3.90477,0.13751
405,19.92817,-0.26311,1.92149,0.53139,3.66537,0.32903,0.01125,0.15752,0.59404,0.20014,0.19657,0.08261,0.22442,0.07431,0.59439,5.92396,0.15213
406,10.94003,-0.68506,1.87953,0.54061,2.91525,1.82518,-0.11679,0.29930,-0.41046,1.73810,0.06187,0.17551,0.26732,0.12517,-0.61151,4.06161,0.15938
407,10.59609,-0.10676,1.74854,0.76535,3.77061,0.41967,0.25005,0.28538,0.44809,-0.70969,0.07256,0.14787,0.29256,0.10769,-0.17281,2.92098,0.15662
408,11.86366,-0.27965,0.52706,0.56474,0.31809,1.38216,-0.11330,0.29531,-0.62543,-0.42706,0.12153,0.02120,0.17322,0.07229,0.48872,6.53964,0.16361
409,11.18440,0.61142,1.84753,1.07063,0.11782,1.19716,-0.28784,0.21924,-1.40343,-0.90778,0.13086,0.14967,0.24360,0.03132,0.57944,7.74836,0.13601
410,13.28838,0.23888,1.80240,0.50887,1.72602,1.35113,-0.06564,0.29859,-1.86181,1.98783,0.13830,0.13337,0.12533,0.13124,0.49360,5.50415,0.14800
411,10.55346,-0.17749,0.51776,0.50550,4.11112,0.65820,-0.01519,0.23180,-0.33831,1.21906,0.01689,0.01846,0.25234,0.12486,-0.70518,3.54350,0.13640
412,12.24621,0.13102,1.99009,1.39830,3.45003,0.58293,0.08675,0.14942,-1.28137,1.73593,0.19591,0.14400,0.16945,0.14405,-0.57172,2.59568,0.13398
413,13.72165,0.66097,0.50632,1.24576,4.26253,1.07714,0.19533,0.28676,-0.14762,-0.95086,0.08812,0.19665,0.15937,0.09796,0.06211,5.94078,0.13127
414,19.32047,0.34051,0.66317,0.70470,0.42465,1.10331,-0.29175,0.13409,0.20875,-0.75447,0.02226,0.02763,0.26027,0.09689,0.56049,3.96579,0.15855
415,12.10505,0.21209,1.83033,0.53923,2.04689,0.33813,0.15381,0.28361,0.46515,1.51582,0.18534,0.01483,0.14530,0.14845,-0.63737,4.85734,0.15842
416,19.30822,0.60041,1.41929,1.15525,0.05731,1.77807,0.25640,0.25765,-1.32685,1.63051,0.06492,0.12652,0.12113,0.14443,-0.67222,6.93156,0.14958
417,12.39433,-0.64446,1.27145,0.78779,4.73436,1.30134,0.26428,0.13668,-0.03101,-0.89262,0.03697,0.10115,0.27890,0.03251,-0.11622,6.14208,0.13018
418,19.02902,0.25859,1.98561,0.60744,3.22713,0.59780,-0.22643,0.18054,0.60107,0.42487,0.01122,0.15145,0.29089,0.08372,0.50259,2.77207,0.13195
419,14.25580,-0.47969,0.88704,1.13262,1.18443,1.94521,0.08783,0.25327,-1.76861,0.51200,0.05788,0.02494,0.18493,0.05504,-0.76393,2.85667,0.16142
420,18.93422,0.67803,0.62045,1.22766,0.62396,1.28111,0.20400,0.19740,-0.57972,0.13481,0.19677,0.08750,0.21767,0.02867,0.73595,2.13175,0.15894
421,12.97538,0.15467,1.82416,1.46158,4.75511,0.78158,0.24543,0.25696,-1.12806,1.57864,0.19390,0.19476,0.25125,0.14958,0.42931,7.31909,0.15963
422,10.11718,-0.11165,0.36678,1.26754,4.46199,0.55680,0.18406,0.15563,-0.25084,0.84972,0.08772,0.19255,0.27492,0.10208,0.40645,4.82007,0.16472
423,18.28421,0.66400,1.70496,0.69723,2.45214,1.87587,-0.21691,0.15423,-1.79668,-0.96681,0.18237,0.05434,0.12873,0.14357,0.62996,5.39316,0.13811
424,13.37888,-0.30952,1.58911,0.90273,0.19621,0.41354,0.01426,0.28284,-1.69434,-0.64168,0.10108,0.03701,0.16889,0.14005,0.61305,7.87132,0.13712
425,17.40929,-0.18950,0.78865,1.30641,4.50162,0.96602,0.23720,0.14146,-1.30644,-0.45332,0.16211,0.05308,0.13186,0.14242,-0.61768,2.19933,0.16030
426,14.07085,-0.44559,1.59290,0.87672,0.20661,0.33342,-0.11639,0.19389,-0.07998,-0.92813,0.02946,0.03082,0.29294,0.14275,-0.28215,2.95744,0.13781
427,18.82992,-0.60186,0.34277,1.03808,4.07420,0.35244,0.07188,0.25550,-1.27375,1.62469,0.01811,0.06983,0.22834,0.04377,-0.41605,7.71810,0.16313
428,13.07503,-0.58979,1.38460,0.85136,0.81021,0.46770,0.14183,0.24947,-1.57116,1.59052,0.13448,0.05535,0.28787,0.14093,-0.49877,7.67266,0.16425
429,13.89444,0.46375,0.97774,1.32837,4.46078,1.91623,0.23865,0.25004,-0.81479,1.43719,0.19986,0.02252,0.16149,0.06917,-0.53614,7.07625,0.13286
430,13.62411,0.05146,1.00855,0.98619,4.09121,1.56319,-0.01410,0.26210,-1.86259,1.69769,0.01589,0.03206,0.28772,0.09000,0.59705,2.58480,0.14983
431,15.27150,0.48743,1.45493,1.42381,3.19142,1.37161,0.24049,0.16384,0.68329,-0.68952,0.06009,0.01892,0.17345,0.07541,0.35815,7.19347,0.13939
432,13.01197,0.06053,0.71058,0.82740,0.92925,1.91197,0.14015,0.17585,0.95835,1.88726,0.17630,0.02285,0.21698,0.10321,-0.78808,6.81898,0.16111
433,18.36852,0.01936,1.95906,1.16777,4.88436,0.34976,-0.26579,0.14514,-1.91849,-0.00747,0.01454,0.18697,0.16925,0.03472,-0.00735,7.18266,0.14939
434,17.93420,0.69725,0.31006,0.57621,0.52567,0.35725,-0.16933,0.28974,-1.24086,0.74316,0.01418,0.10930,0.14908,0.10977,-0.56389,7.09864,0.13538
435,10.05782,-0.68299,1.26194,0.90804,0.08388,1.90085,0.12872,0.26420,-0.13044,0.33732,0.15509,0.07318,0.23189,0.05417,0.55983,2.07499,0.13685
436,18.94707,0.59038,0.80039,1.33285,4.42274,0.58689,0.03700,0.22854,0.50157,1.51015,0.16369,0.17069,0.15013,0.08831,-0.68969,5.22991,0.16060
437,12.03832,-0.12903,1.36175,1.21130,0.01385,1.29196,-0.27251,0.25878,0.61617,-0.40686,0.19395,0.18056,0.29897,0.14164,0.60836,4.58266,0.16403
438,13.64944,-0.19180,1.71189,0.73736,4.40686,1.84238,-0.29123,0.24506,-1.60555,-0.39249,0.19137,0.11833,0.24950,0.06166,-0.67040,2.28715,0.13106
439,17.02851,-0.55019,1.92532,0.52662,4.22839,1.52121,-0.09788,0.14845,-1.81702,0.31905,0.07903,0.19881,0.26294,0.13022,-0.71287,7.74128,0.16420
440,15.07574,0.61379,0.78108,0.50227,0.06974,1.79897,-0.02036,0.27425,-0.78418,1.26215,0.12085,0.16532,0.27446,0.10103,-0.11250,2.21971,0.15917
441,10.07140,-0.59597,0.47379,0.67107,1.75182,1.47690,0.07985,0.23373,-0.56042,1.68923,0.02906,0.19720,0.14288,0.03184,0.79682,2.65148,0.16452
442,16.64415,-0.66975,0.72686,1.05673,2.58753,1.50741,-0.25935,0.23895,0.37682,0.19441,0.17214,0.11299,0.16345,0.04522,0.44664,6.70661,0.13963
443,12.34737,0.56683,1.99643,0.79561,4.57137,1.76860,-0.00736,0.15003,0.56452,0.89790,0.08694,0.17958,0.18772,0.08646,0.57332,4.41324,0.16294
444,14.12923,0.57510,1.85668,0.68683,0.04663,0.54250,0.05945,0.15027,0.74590,1.82926,0.01248,0.14894,0.14489,0.14474,0.48558,3.47705,0.14248
445,19.20939,-0.15646,1.96699,1.45189,2.81395,0.78833,-0.10140,0.21389,-1.05757,-0.63097,0.11938,0.02473,0.24841,0.02563,0.63264,3.21267,0.14456
446,10.41876,-0.14325,1.78590,1.32386,2.12611,0.57891,0.29529,0.28177,-1.66092,-0.41642,0.02708,0.05178,0.13360,0.04551,-0.64741,6.96168,0.15626
447,10.19432,-0.16539,0.46853,1.40320,4.78002,0.65028,-0.18697,0.29601,-1.43911,1.20004,0.13579,0.19383,0.28702,0.11917,0.41377,3.03686,0.13179
448,18.80136,-0.62926,0.85420,1.45714,0.57633,1.02830,-0.19743,0.28155,-1.10266,-0.97558,0.05948,0.12589,0.28307,0.14385,-0.40384,5.46773,0.15829
449,19.79056,-0.23488,0.95455,1.46394,4.51475,0.88005,-0.01675,0.15949,-1.95006,1.23315,0.18183,0.17081,0.24311,0.09767,0.77071,6.90562,0.13522
450,13.61659,-0.60478,1.19257,0.58707,0.37749,0.64974,-0.09539,0.14297,-1.57584,1.65842,0.17877,0.17210,0.16054,0.04793,-0.59590,5.51960,0.16091
